C	Course	Title	Type	Cr Hrs	Capacity	Instructor	Days	Begin	End	Location	Exam
12372	COMM-1016	Communication Skills	L	3	24	CE Hall	M W	2:30PM	3:45PM	MCB 316	14M
12373	COMM-1016	Communication Skills	L	3	24	HL Shinault	M W F	10:10AM	11:00AM	MCB 216	10M
12374	COMM-1016	Communication Skills	L	3	24	HL Shinault	M W F	12:20PM	1:10PM	MCB 223	12M
12375	COMM-1016	Communication Skills	L	3	26	CE Hall	T R	12:30PM	1:45PM	MCB 231	12T
12376	COMM-1016	Communication Skills	L	3	22	BW Howell	T R	12:30PM	1:45PM	MCB 232	12T
12377	COMM-1016	Communication Skills	L	3	23	N Sowder	T R	12:30PM	1:45PM	MCB 238	12T
12378	COMM-1016	Communication Skills	L	3	19	DS Conner	T R	2:00PM	3:15PM	MAJWM 434	14T
12380	COMM-1016	Communication Skills	L	3	23	HL Shinault	M W F	9:05AM	9:55AM	MCB 316	09M
12381	COMM-1016	Communication Skills	L	3	22	DS Conner	M W	2:30PM	3:45PM	MCB 302	14M
12382	COMM-1016	Communication Skills	L	3	23	EL Tydings	M W F	10:10AM	11:00AM	MCB 219	10M
12383	COMM-1016	Communication Skills	L	3	23	N Sowder	T R	3:30PM	4:45PM	MCB 238	15T
12384	COMM-1016	Communication Skills	L	3	22	CE Hall	M W	4:00PM	5:15PM	MCB 302	16M
12386	COMM-1016	Communication Skills	L	3	22	EL Tydings	M W F	12:20PM	1:10PM	MCB 224	12M
12387	COMM-1016	Communication Skills	L	3	24	DM Jenkins	T R	9:30AM	10:45AM	SHANK 180	09T
12388	COMM-1016	Communication Skills	L	3	22	DS Conner	M W	4:00PM	5:15PM	MCB 224	16M
12389	COMM-1016	Communication Skills	L	3	23	N Sowder	M W	10:00AM	11:15AM	SHANK 160	10M
12391	COMM-1016	Communication Skills	L	3	20	EW Stallings	M W	2:30PM	3:45PM	MCB 322	14M
12392	COMM-1016	Communication Skills	L	3	24	SC Stinson	M W	2:30PM	3:45PM	MCB 318	14M
12393	COMM-1016	Communication Skills	L	3	24	EL Tydings	M W F	9:05AM	9:55AM	MCB 216	09M
12394	COMM-1016	Communication Skills	L	3	20	N Sowder	M W	8:30AM	9:45AM	SHANK 160	08M
12395	COMM-1016	Communication Skills	L	3	23	EW Stallings	T R	12:30PM	1:45PM	MCB 230	12T
19443	COMM-1016	Communication Skills	L	3	22	SC Stinson	M W	4:00PM	5:15PM	MCB 322	16M
19444	COMM-1016	Communication Skills	L	3	20	DS Conner	T R	3:30PM	4:45PM	MCB 322	15T
19445	COMM-1016	Communication Skills	L	3	23	EW Stallings	T R	11:00AM	12:15PM	RAND 120	11T
19583	COMM-1016	Communication Skills	L	3	21	EL Tydings	M W F	1:25PM	2:15PM	MCB 231	13M
19588	COMM-1016	Communication Skills	L	3	25	B Quesenberry	T R	11:00AM	12:15PM	RAND 220	11T
19600	COMM-1016	Communication Skills	L	3	20	CE Hall	T R	3:30PM	4:45PM	MCB 240	15T
13628	ENGL-1105	First-Year Writing	L	3	19	JM Hill	M W F	11:15AM	12:05PM	PAM 3001	11M
13629	ENGL-1105	First-Year Writing	L	3	19	PV Heilker	T R	9:30AM	10:45AM	SAUND 408	09T
13632	ENGL-1105	First-Year Writing	L	3	0	J Lawrence	M W F	11:15AM	12:05PM	ROB 122	11M
13633	ENGL-1105	First-Year Writing	L	3	19	MS Maycock	T R	12:30PM	1:45PM	ROB 122	12T
13634	ENGL-1105	First-Year Writing	L	3	19	MS Maycock	T R	2:00PM	3:15PM	MCB 321	14T
13636	ENGL-1105	First-Year Writing	L	3	19	GM Lewis	M W	4:00PM	5:15PM	ROB 112	16M
19854	ENGL-1105	First-Year Writing	L	3	19	GM Lewis	M W	5:30PM	6:45PM	MCB 209	17M
20460	ENGL-1105	First-Year Writing	L	3	19	CN Bean	M W F	9:05AM	9:55AM	MCB 209	09M
13637	ENGL-1106	First-Year Writing	L	3	20	SD Mooney	M W	2:30PM	3:45PM	PAM 1001	14M
13639	ENGL-1106	First-Year Writing	L	3	20	MS Maycock	M W	4:00PM	5:15PM	MCB 304	16M
13640	ENGL-1106	First-Year Writing	L	3	20	SB Sheiner	M W F	10:10AM	11:00AM	MCB 212	10M
13641	ENGL-1106	First-Year Writing	L	3	20	AM Whitman	T R	12:30PM	1:45PM	GYM 219	12T
13642	ENGL-1106	First-Year Writing	L	3	20	DS Lawrence	M W F	1:25PM	2:15PM	WHIT 277	13M
13643	ENGL-1106	First-Year Writing	L	3	20	EL Bloomer	M W F	11:15AM	12:05PM	WHIT 277	11M
13644	ENGL-1106	First-Year Writing	L	3	20	JM Adams	M W F	8:00AM	8:50AM	MCB 316	08M
13645	ENGL-1106	First-Year Writing	L	3	20	AV Harper	M W F	10:10AM	11:00AM	GYM 124	10M
13646	ENGL-1106	First-Year Writing	L	3	20	AH Wimbish	M W F	9:05AM	9:55AM	PAM 3028	09M
13647	ENGL-1106	First-Year Writing	L	3	20	SD Frost	M W F	10:10AM	11:00AM	WHIT 257	10M
13648	ENGL-1106	First-Year Writing	L	3	20	GS Saffle	T R	2:00PM	3:15PM	MCB 134	14T
13649	ENGL-1106	First-Year Writing	L	3	20	JM Francis	M W F	10:10AM	11:00AM	ROB 122	10M
13650	ENGL-1106	First-Year Writing	L	3	20	IL Baker	T R	3:30PM	4:45PM	HOLD 212	15T
13651	ENGL-1106	First-Year Writing	L	3	20	AB Manns	M W F	9:05AM	9:55AM	PAM 1004	09M
