CRN	Course	Title	Type	Cr Hrs	Capacity	Instructor	Days	Begin	End	Location	Exam
10237	AFST-1714	Intro African American Studies	ONLINE	3	50	P Rivera-Rideau	(ARR)	----- (ARR) -----		TBA	00X
10238	AFST-1714	Intro African American Studies	L	3	50	SD Kachipande	T R	11:00AM	12:15PM	TORG 1010	11T
10239	AFST-1714	Intro African American Studies	ONLINE	3	50	P Seniors	(ARR)	----- (ARR) -----		TBA	00X
10241	AFST-1814	Intro to African Studies	L	3	40	O Agozino	M W	4:00PM	5:15PM	MCB 218	16M
10242	AFST-1814	Intro to African Studies	L	3	100	PS Polanah	T R	11:00AM	12:15PM	HOLD AUD	11T
10302	AINS-1104	Intro American Indian Studies	L	3	40	KR Precoda	T R	2:00PM	3:15PM	RAND 116	14T
10303	AINS-1104	Intro American Indian Studies	L	3	40	SR Cook	M W F	12:20PM	1:10PM	MCB 134	12M
10304	AINS-1104	Intro American Indian Studies	L	3	40	AM Stapp	T R	3:30PM	4:45PM	MCB 226	15T
18944	AINS-1104	Intro American Indian Studies	L	3	40	WT Jamerson	M W	2:30PM	3:45PM	MCB 224	14M
10511	APS-1704	Intro to Appalachian Studies	L	3	45	JL Laney	T R	12:30PM	1:45PM	RAND 129	12T
10512	APS-1704	Intro to Appalachian Studies	L	3	40	RP Kauffman	T R	11:00AM	12:15PM	MCB 226	11T
10514	APS-1704	Intro to Appalachian Studies	L	3	40	RP Kauffman	T R	9:30AM	10:45AM	MCB 226	09T
19320	APS-1704	Intro to Appalachian Studies	L	3	40	S Parish	M W F	9:05AM	9:55AM	WHIT 257	09M
20187	APS-1704	Intro to Appalachian Studies	ONLINE	3	40	DE Davis	(ARR)	----- (ARR) -----		TBA	00X
10617	ARCH-3116	History of Architecture	L	3	120	LM McGuire	T R	11:00AM	12:15PM	HAN 100	11T
10874	ART-2386	Surv Hist West Art	L	3	300	LB Van Hook	T R	9:30AM	10:45AM	TORG 2150	09T
20016	ART-3284	Medieval Art and Architecture	L	3	25	JR Jewitt	M W	1:50PM	3:05PM	HEND 353	13M
12343	CLA-2444	Greek and Roman Myth	L	3	100	CE Steer	M W F	10:10AM	11:00AM	SURGE 104A	10M
12344	CLA-2444	Greek and Roman Myth	L	3	100	CE Steer	M W F	11:15AM	12:05PM	SURGE 104A	11M
12345	CLA-2454	Classical Lit in Tran	L	3	30	AS Becker	T R	11:00AM	12:15PM	MAJWM 334	11T
12426	COMM-2064	The Rhetorical Tradition	L	3	60	BW Howell	M W	2:30PM	3:45PM	GOODW 115	14M
13745	ENGL-1604	Introduction to Poetry	L	3	80	G Voros	T R	2:00PM	3:15PM	MCB 113	14T
13746	ENGL-1614	Introduction to Short Fiction	L	3	80	LC Skinner	M W F	11:15AM	12:05PM	MCB 129	11M
13747	ENGL-1614	Introduction to Short Fiction	ONLINE	3	80	RH Canter	(ARR)	----- (ARR) -----		TBA	00X
18860	ENGL-1614	Introduction to Short Fiction	L	3	80	GS Saffle	T R	9:30AM	10:45AM	MCB 113	09T
20209	ENGL-1614	Introduction to Short Fiction	L	3	80	LC Skinner	M W F	9:05AM	9:55AM	PAM 2030	09M
13749	ENGL-1624	Intro to Detective Fiction	ONLINE	3	80	AF Kinder	(ARR)	----- (ARR) -----		TBA	00X
20431	ENGL-1624	Intro to Detective Fiction	L	3	80	SM Knapp	M W	2:30PM	3:45PM	PAM 2030	14M
13751	ENGL-1634	Introduction to Shakespeare	L	3	80	L Neilan	M W	2:30PM	3:45PM	MCB 113	14M
13753	ENGL-1634	Introduction to Shakespeare	L	3	80	L Neilan	T R	12:30PM	1:45PM	MCB 129	12T
13754	ENGL-1634	Introduction to Shakespeare	L	3	80	J Harvill	M W	4:00PM	5:15PM	MCB 113	16M
